iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
8,GB,1,2,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
9,GB,1,2,False,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
0,RFC,1,2,False,No,0.6440677966101694,0.6425287356321838,-1.0,-1.0
1,RFC,1,2,False,No,0.576271186440678,0.5775862068965517,-1.0,-1.0
2,RFC,1,2,False,No,0.6779661016949152,0.6758620689655173,-1.0,-1.0
3,RFC,1,2,False,No,0.6101694915254238,0.6120689655172413,-1.0,-1.0
4,RFC,1,2,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,RFC,1,2,False,No,0.7413793103448276,0.7413793103448276,-1.0,-1.0
6,RFC,1,2,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
7,RFC,1,2,False,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
8,RFC,1,2,False,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
9,RFC,1,2,False,No,0.7413793103448276,0.7413793103448276,-1.0,-1.0
0,SVC,1,3,True,No,0.6101694915254238,0.6114942528735632,-1.0,-1.0
1,SVC,1,3,True,No,0.6949152542372882,0.6948275862068966,-1.0,-1.0
2,SVC,1,3,True,No,0.5254237288135594,0.5241379310344827,-1.0,-1.0
3,SVC,1,3,True,No,0.6271186440677966,0.6252873563218391,-1.0,-1.0
4,SVC,1,3,True,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
5,SVC,1,3,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
6,SVC,1,3,True,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
7,SVC,1,3,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
8,SVC,1,3,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
9,SVC,1,3,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
0,RBF,1,3,True,No,0.6949152542372882,0.6965517241379311,-1.0,-1.0
1,RBF,1,3,True,No,0.5932203389830508,0.593103448275862,-1.0,-1.0
2,RBF,1,3,True,No,0.6271186440677966,0.6252873563218391,-1.0,-1.0
3,RBF,1,3,True,No,0.6101694915254238,0.6080459770114942,-1.0,-1.0
4,RBF,1,3,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
5,RBF,1,3,True,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
6,RBF,1,3,True,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
7,RBF,1,3,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
8,RBF,1,3,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
9,RBF,1,3,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
0,LR,1,3,True,No,0.5084745762711864,0.5,0.6758620689655173,0.6641066611067205
1,LR,1,3,True,No,0.5084745762711864,0.5,0.6678160919540229,0.6689580542603881
2,LR,1,3,True,No,0.5084745762711864,0.5,0.6448275862068966,0.6520477190541583
3,LR,1,3,True,No,0.5084745762711864,0.5,0.7011494252873564,0.6967783531162284
4,LR,1,3,True,No,0.5,0.5,0.6409036860879904,0.6587177888869838
5,LR,1,3,True,No,0.5,0.5,0.7098692033293699,0.6764868727269044
6,LR,1,3,True,No,0.5,0.5,0.6789536266349584,0.5775119097158586
7,LR,1,3,True,No,0.5,0.5,0.5077288941736029,0.5054305208935883
8,LR,1,3,True,No,0.5,0.5,0.5505350772889417,0.4998474153731754
9,LR,1,3,True,No,0.5,0.5,0.5695600475624257,0.6419815030281998
0,GB,1,3,True,No,0.5932203389830508,0.5936781609195403,-1.0,-1.0
1,GB,1,3,True,No,0.6101694915254238,0.6086206896551725,-1.0,-1.0
2,GB,1,3,True,No,0.5254237288135594,0.5270114942528736,-1.0,-1.0
3,GB,1,3,True,No,0.576271186440678,0.5764367816091953,-1.0,-1.0
4,GB,1,3,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
5,GB,1,3,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
6,GB,1,3,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
7,GB,1,3,True,No,0.7241379310344828,0.7241379310344828,-1.0,-1.0
8,GB,1,3,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
9,GB,1,3,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
