iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
2,1,4,False,No,0.8472118278491307,1.0968713576698028,1.0473162643966734
3,1,4,False,No,0.8738219160536614,1.1677292101180752,1.0806151998366833
4,1,4,False,No,0.9081417569713082,1.2581407087072911,1.1216687161133143
5,1,4,False,No,0.8882686131842057,1.217783377010231,1.1035322274452302
6,1,4,False,No,0.8594270183881445,1.1456521591589337,1.0703514185345548
7,1,4,False,No,0.8520492779762439,1.1561575176387135,1.0752476540958895
8,1,4,False,No,0.8609374838302594,1.1594539050772064,1.076779413379178
9,1,4,False,No,0.861128512902196,1.1598605859999762,1.0769682381574566
10,1,4,False,No,0.8813412269650058,1.1831651409981616,1.087733947708796
11,1,4,False,No,0.8616781261979313,1.1438049474569727,1.069488170788706
12,1,4,False,No,0.857291858849247,1.143420142957763,1.0693082544139285
13,1,4,False,No,0.8784228776403309,1.1583303457960537,1.0762575648031718
14,1,4,False,No,0.8593235822932179,1.1486197484109115,1.071736790639806
15,1,4,False,No,0.8342800773632644,1.122905548033376,1.0596723776872623
16,1,4,False,No,0.8421624621420702,1.1002849658259886,1.0489446914999803
17,1,4,False,No,0.8507615516102225,1.129598144770335,1.0628255476654365
18,1,4,False,No,0.8370145211528515,1.075212398032962,1.0369244900343333
19,1,4,False,No,0.8761826070772146,1.1857748235732262,1.0889328829515739
20,1,4,False,No,0.8565452394443888,1.1418853172919425,1.068590341193454
21,1,4,False,No,0.8500388820050957,1.1183210831753005,1.0575070132983992
22,1,4,False,No,0.8861863963934342,1.1839478100773313,1.088093658688135
23,1,4,False,No,0.832840889263184,1.0686935660972205,1.0337763617423357
24,1,4,False,No,0.8507853340837094,1.1208194490459293,1.0586876069199682
25,1,4,False,No,0.8379211704999362,1.077439954142626,1.0379980511266031
26,1,4,False,No,0.8445244707953885,1.1182490289915417,1.0574729448035736
27,1,4,False,No,0.8709876905881347,1.1747500788446432,1.0838588832706235
28,1,4,False,No,0.8433851723483046,1.1285883785296662,1.0623504028942927
29,1,4,False,No,0.8802471299735737,1.209834625878718,1.0999248273762703
30,1,4,False,No,0.8795555701351919,1.2123232312589183,1.101055507801
31,1,4,False,No,0.874142972093633,1.2066360574388042,1.0984698709745317
32,1,4,False,No,0.8880173430572462,1.1924439548040546,1.0919908217581569
33,1,4,False,No,0.8737347792652496,1.16447051814369,1.079106351637173
34,1,4,False,No,0.8412424701260703,1.09615047530278,1.0469720508699265
35,1,4,False,No,0.8666472504477839,1.1661393903739936,1.079879340655239
36,1,4,False,No,0.8548217010783782,1.13430261353892,1.0650364376578485
37,1,4,False,No,0.8893501602250797,1.2015471032285125,1.0961510403354606
38,1,4,False,No,0.8728371158024072,1.1728678414354305,1.0829902314589133
39,1,4,False,No,0.86184596053088,1.1642657943060108,1.0790114894226155
40,1,4,False,No,0.861788872896614,1.166461312719615,1.0800283851453234
41,1,4,False,No,0.8828014865574976,1.2192593234154265,1.1042007622780499
42,1,4,False,No,0.8271227168980012,1.0715662259491983,1.0351648303285803
43,1,4,False,No,0.8573427010559083,1.134100703299977,1.0649416431429364
44,1,4,False,No,0.8597223276292241,1.1576758419651232,1.0759534571556166
45,1,4,False,No,0.8663591181021219,1.1624391335574082,1.0781647061360375
46,1,4,False,No,0.9048280107996914,1.2799815300747328,1.1313626872381521
